----------------------------------------																											
----       Per-function profile     ----																											
----------------------------------------																											
				Core 0						Core 1						Core 2						Core 3					
Func Name	Total Energy(j)	Total Time(s)	Total Energy Efficiency(inst/joule)	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency
Comm::border_sendItemA(int) const at comm.cpp	0.033167	0.002	279713000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033167	0.002	279713000	100	100	0
create_atoms(Atom&, int, int, int, double) at setup.cpp	0.0325381	0.003	279345000	0.0155284	0.001	279315000	47.7237	33.3333	0.0106479	0.0083039	0.001	279371000	25.5205	33.3333	0.00951853	0.00870582	0.001	279372000	26.7558	33.3333	0.00991152	0	0	0	0	0	0
Kokkos::Impl::ParallelFor<ForceComputeHalfneighThreadedFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(ForceComputeHalfneighThreadedFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0235028	0.002	326062000	0	0	0	0	0	0	0	0	0	0	0	0	0.0112207	0.001	326062000	47.7422	50	1.14851E-005	0.012282	0.001	326062000	52.2578	50	1.04926E-005
Kokkos::Impl::ParallelFor<DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2>, unsigned long, Kokkos::OpenMP>::ParallelFor(DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2> const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.021276	0.002	281026000	0	0	0	0	0	0	0	0	0	0	0	0	0.00885474	0.001	281031000	41.6184	50	0.001872	0.0124213	0.001	281022000	58.3816	50	0.00133451
Comm::growsend(int) at comm.cpp	0.0194359	0.002	332977000	0.0101307	0.001	332970000	52.1237	50	0.00226927	0.00930521	0.001	332986000	47.8763	50	0.00247054	0	0	0	0	0	0	0	0	0	0	0	0
Kokkos::Impl::MemoryTracking::increment(void const*) at Kokkos_MemoryTracking.cpp	0.0191327	0.002	311498000	0.00954209	0.001	311497000	49.8733	50	0.000148733	0.00959058	0.001	311498000	50.1267	50	0.00014798	0	0	0	0	0	0	0	0	0	0	0	0
Kokkos::Impl::ParallelFor<FinalIntegrateFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(FinalIntegrateFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.018232	0.002	281031000	0	0	0	0	0	0	0	0	0	0	0	0	0.0124656	0.001	281028000	68.3723	50	0.00111434	0.00576635	0.001	281038000	31.6277	50	0.00240892
Kokkos::Impl::ParallelFor<InitialIntegrateFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(InitialIntegrateFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0179007	0.002	375445000	0.0100693	0.001	375442000	56.2509	50	0.000658253	0.00783139	0.001	375448000	43.7491	50	0.000846351	0	0	0	0	0	0	0	0	0	0	0	0
upper_bound at Kokkos_MemoryTracking.cpp	0.0160944	0.002	283318000	0.0103147	0.001	283317000	64.0885	50	0.000235027	0.00577976	0.001	283319000	35.9115	50	0.000419434	0	0	0	0	0	0	0	0	0	0	0	0
Kokkos::Impl::ParallelFor<AtomUnpackReverseFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(AtomUnpackReverseFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0142877	0.001	98094500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142877	0.001	98094500	100	100	0
																											
----------------------------------------																											
----       Per-thread profile       ----																											
----------------------------------------																											
THREAD 0																											
Func Name	Total Energy(j)	Total Time(s)	Energy Efficiency(inst/joule)	% Core Energy	% Core Time	% Tot Energy	% Tot Time																				
atomic_fetch_add<double> at Kokkos_Atomic_Fetch_Add.hpp	22.6045	1.937	294608000	57.023	59.3625	14.4874	14.8851																				
compute_halfneigh_threadedItem<0, 1> at force_lj.cpp	7.27076	0.611	289298000	18.3415	18.7251	4.65987	4.6953																				
operator()<int, int> at Kokkos_View.hpp	3.57592	0.293	295462000	9.02073	8.97947	2.29182	2.25159																				
Neighbor::build_Item(int const&) const at neighbor.cpp	3.1696	0.221	508790000	7.99576	6.77291	2.03142	1.6983																				
?? at ??	1.03999	0.056	167748000	2.62351	1.71621	0.666533	0.430339																				
